,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,BBC Breaking News,@BBCBreaking,2020-12-28T01:21:05.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 28일","US President Donald Trump signs Covid relief and spending package, averting government shutdown
bbc.co.uk
Covid: Trump signs relief and spending package into law
The measure restores unemployment benefits and averts a partial US government shutdown.
224
376
1.6천",,224,376,1.6천,['https://pbs.twimg.com/card_img/1477088701847121927/RxLQQpK5?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1343366328120446977
1,BBC Breaking News,@BBCBreaking,2020-12-29T16:47:11.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 30일","First person in the world to be given the Pfizer Covid-19 injection as part of a mass vaccination programme, Margaret Keenan, has received her second dose

https://bbc.in/3rEl5SA
345
1.1천
7천",,345,1.1천,7천,[],https://twitter.com/BBCBreaking/status/1343961773582524417
2,BBC Breaking News,@BBCBreaking,2020-12-29T12:14:21.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 29일","French fashion designer Pierre Cardin, known for his Space-Age designs, has died at the age of 98
bbc.co.uk
Pierre Cardin: French fashion giant dies aged 98
He helped revolutionise fashion with his futuristic and stylish designs in the 1950s and 60s.
118
965
1.9천",,118,965,1.9천,['https://pbs.twimg.com/card_img/1476766193163767810/-fkvoMR0?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1343893114369564672
3,BBC Breaking News,@BBCBreaking,2020-12-30T07:00:54.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 30일","Oxford-AstraZeneca coronavirus vaccine approved by UK regulator paving the way for millions more vaccinations
bbc.co.uk
Covid-19: Oxford-AstraZeneca vaccine approved for use in UK
The first doses are due to be given on Monday, amid concern over rising coronavirus cases.
344
4.6천
1.3만",,344,4.6천,1.3만,['https://pbs.twimg.com/card_img/1478648955177254915/tVtMG35p?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344176621188743169
4,BBC Breaking News,@BBCBreaking,2020-12-30T14:46:37.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 30일","Post-Brexit trade deal between UK and EU approved by MPs by 521 votes to 73 ahead of 31 December deadline 

http://bbc.in/3o4eZss
242
793
1.7천",,242,793,1.7천,['https://pbs.twimg.com/media/EqfkG05WMAoOD2v?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344293821262213121
5,BBC Breaking News,@BBCBreaking,2020-12-30T07:24:42.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 30일","Argentina's Senate approves law allowing abortions up to 14th week of pregnancy in the highly Catholic nation
bbc.co.uk
Argentina abortion: Senate approves legalisation in historic decision
The law allows abortions up to the 14th week of pregnancy in the highly Catholic nation.
158
1.2천
4.5천",,158,1.2천,4.5천,['https://pbs.twimg.com/card_img/1477700397351510019/qQHYtC_Q?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344182610361200641
6,BBC Breaking News,@BBCBreaking,2020-12-30T22:30:47.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 31일","F1 driver Lewis Hamilton is knighted and hundreds of Covid volunteers are recognised in the New Year Honours list
bbc.co.uk
New Year Honours 2021: Lewis Hamilton knighted and Covid volunteers recognised
The efforts of hundreds of people during the pandemic are recognised on the New Year list.
568
1.1천
5.8천",,568,1.1천,5.8천,['https://pbs.twimg.com/card_img/1479047197710852101/JReEQA6e?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344410633320730629
7,BBC Breaking News,@BBCBreaking,2020-12-30T15:14:45.000Z,"BBC Breaking News
@BBCBreaking
·
2020년 12월 31일","Millions more people to move into toughest tier 4 restrictions in England from midnight after Covid cases escalate
bbc.co.uk
Covid-19: Twenty million in England added to toughest tier of restrictions
The PM says he is ""confident"" the situation will be ""very much better"" by 5 April, after Easter.
475
913
1.2천",,475,913,1.2천,['https://pbs.twimg.com/card_img/1478930978416607235/EW890RAm?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344300902174384134
8,BBC Breaking News,@BBCBreaking,2020-12-31T23:00:21.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 1일","UK begins new relationship with EU as post-Brexit trade deal comes into force
bbc.co.uk
Brexit: New era for UK as it completes separation from European Union
Boris Johnson celebrates the ""freedom in our hands"" as the long Brexit process comes to a conclusion.
225
550
1.5천",,225,550,1.5천,['https://pbs.twimg.com/card_img/1477966780199018503/oNkO1mH1?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1344780463160832006
9,BBC Breaking News,@BBCBreaking,2021-01-01T19:50:18.000Z,"BBC Breaking News
@BBCBreaking
·
2021년 1월 2일","US Congress overrides Trump's veto of a defence spending bill, the first time this has happened in his presidency
bbc.co.uk
US Congress overrides Trump veto for first time
It is the first time this has happened in his presidency, just days before he leaves.
174
479
2.2천",,174,479,2.2천,['https://pbs.twimg.com/card_img/1479869417324351491/F7Hbb_9g?format=jpg&name=small'],https://twitter.com/BBCBreaking/status/1345095020643315712
