,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,CNN Breaking News,@cnnbrk,2020-12-27T14:44:21.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 27일","Dr. Fauci says he believes the worst is still to come in the pandemic following the holiday season 
https://cnn.it/3hnOeg0
851
1.8천
6.3천",,851,1.8천,6.3천,['https://pbs.twimg.com/media/EqQGxgsUYAARdCH?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343206085713297408
1,CNN Breaking News,@cnnbrk,2020-12-27T17:57:19.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 28일","The US surpasses 19 million coronavirus cases, according to data from Johns Hopkins University
https://cnn.it/3mTkzg6
101
314
852",,101,314,852,['https://pbs.twimg.com/media/EqQyrt9VoAA0Vhy?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343254649344704514
2,CNN Breaking News,@cnnbrk,2020-12-27T17:34:15.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 28일","The European Union launches its mass Covid-19 vaccination program, days after approving the Pfizer/BioNTech coronavirus vaccine
https://cnn.it/37RCI9V
67
256
1.4천",,67,256,1.4천,['https://pbs.twimg.com/media/EqQs-fnVQAAmDM0?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343248842909630465
3,CNN Breaking News,@cnnbrk,2020-12-27T22:28:52.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 28일","Officials identify Anthony Warner as the Nashville bomber and confirm his remains were found at the blast site
cnn.com
Here's what we know about the Nashville Christmas Day explosion
Anthony Quinn Warner identified as Nashville bomber.
244
554
1.4천",,244,554,1.4천,['https://pbs.twimg.com/card_img/1476679253139890176/_rLVN1AO?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343322987290914816
4,CNN Breaking News,@cnnbrk,2020-12-27T05:40:15.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 27일","President Trump has not signed Congress' latest Covid relief bill, allowing benefits to lapse for many jobless Americans
cnn.com
Unemployment benefits lapse for jobless Americans as Trump holds out on signing relief bill
Millions of jobless gig-workers and independent contractors, as well as long-term unemployed Americans, are set to lose their unemployment benefits after this weekend since President Donald Trump...
1천
1천
2.3천",,1천,1천,2.3천,['https://pbs.twimg.com/card_img/1478812697147891728/WM8PWPmV?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343069160910237696
5,CNN Breaking News,@cnnbrk,2020-12-27T20:19:32.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 28일","Hall of Fame pitcher Phil Niekro, who mastered the art of throwing the knuckleball, has died at 81 after a battle with cancer, the Atlanta Braves say
cnn.com
Hall of Fame pitcher Phil Niekro dies at the age of 81
Baseball Hall of Fame pitcher Phil Niekro has died at the age of 81 after a battle with cancer, the Atlanta Braves announced on Sunday.
49
184
748",,49,184,748,['https://pbs.twimg.com/card_img/1478443083356200963/14FJ9dAI?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343290438921445376
6,CNN Breaking News,@cnnbrk,2020-12-27T04:40:04.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 27일","Three people were killed and three wounded in a shooting at a bowling alley in Rockford, Illinois, and a suspect is in custody, according to police.
cnn.com
Special Forces soldier charged after 3 killed in shooting at Illinois bowling alley
An active-duty Special Forces soldier has been charged with murder after three people were killed and three wounded in a shooting at a bowling alley in Rockford, Illinois, authorities said Sunday.
130
250
644",,130,250,644,['https://pbs.twimg.com/card_img/1476334440859062273/e1YchTQD?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343054014070534151
7,CNN Breaking News,@cnnbrk,2020-12-27T19:59:15.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 28일","Anthony Quinn Warner is a key person in the probe of the Nashville explosion, police say. Authorities believe his remains were found at the blast site.
cnn.com
Here's what we know about the Nashville Christmas Day explosion
Anthony Quinn Warner identified as Nashville bomber.
124
253
689",,124,253,689,['https://pbs.twimg.com/card_img/1476679253139890176/_rLVN1AO?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343285334386343938
8,CNN Breaking News,@cnnbrk,2020-12-28T22:11:12.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 29일","President-elect Joe Biden says he supports $2,000 stimulus checks https://cnn.it/2L1pcr4
321
781
6.5천",,321,781,6.5천,[],https://twitter.com/cnnbrk/status/1343680929093603329
9,CNN Breaking News,@cnnbrk,2020-12-28T22:10:20.000Z,"CNN Breaking News
@cnnbrk
·
2020년 12월 29일","$600 relief checks expected to start going out this week — but timing could slide, Trump official says https://cnn.it/3nZUPzV
113
232
736",,113,232,736,['https://pbs.twimg.com/media/EqW2fCBXYAYqG-i?format=jpg&name=small'],https://twitter.com/cnnbrk/status/1343680709437894658
